# Glossary table is used to maintain consistency across the whole project.
# Please insert new items by alphabetical order.
# 术语表用来维护整个项目的一致性。
# 请按字母顺序插入新条目。

English         Chinese (Simplified)    Remark

art             艺术
bondage         束缚
college         学院
dominate        支配
fight           格斗
kinky           性癖的                  这个词似乎不太好翻译……
loser           废物
rope mastery    绳艺
seduction       诱惑
subbie girl     乖乖女
submission      顺从
thrash          疯狂挣扎                非正式用法
wad; wadding    布团
Amanda          阿曼达
Sidney          西德尼
Sarah           莎拉
Yuki            优纪
Mildred         米尔德丽德
Julia           朱莉娅
Jennifer        詹妮弗
Erica           埃丽卡
Lauren          劳伦
Cassidy         卡西迪
Jenna           珍娜
Amelia          阿米莉亚
Cassi           卡西
Lucy            露西
Heather         希瑟
Charlotte       夏洛特
Natalie         娜塔莉
